Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills
Agile Projects:  Developing Tasks with Taiga,Coursera Project Network,Beginner,4,https://www.coursera.org/learn/developing-agile-tasks-taiga,"By the end of this guided project, you will be fluent in creating tasks for Agile projects based on previous project phases.",project  modeling  Project Management  agile management  user story  presentation  Product Development  Leadership and Management  documents  Web Design business business-strategy
Esports Management Capstone Project,"University of California, Irvine",Beginner,4.4,https://www.coursera.org/learn/esports-management-capstone-project,We will analyze the pros and cons of creating a single or multiple Esport organization and recommend an effective branding strategy for a hypothetical Esport organization based on current Esport branding considerations.,Average  Planning  Leadership and Management  Peer Review  Strategy  peering  evaluation  Recruiting  project  interest business leadership-and-management
Hacking and Patching,University of Colorado System,Advanced,3.4,https://www.coursera.org/learn/hacking-patching,"In this MOOC, you will learn how to hack web apps with command injection vulnerabilities in a web site of your AWS Linux instance.",Security Design  design pattern  web application  internet security  SQL  select (sql)  metasploit project  penetration test  security  password cracking computer-science computer-security-and-networks
Business Statistics and Analysis Capstone,Rice University,Beginner,4.7,https://www.coursera.org/learn/business-statistics-analysis-capstone,The Business Statistics and Analysis Capstone is an opportunity to apply various skills developed across the four courses in the specialization to a real life data.,Statistical Analysis  Microsoft Excel  business analytics  Regression Analysis  General Statistics  Data Analysis  Regression  analytics  analysis  Business Analysis data-science data-analysis
Grab Data Fast with Vertical and Horizontal LOOKUP,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/grab-data-fast-with-vertical-and-horizontal-lookup-in-google-sheets,Data can come our way in multiple forms and from multiple file types.,evaluation  software  presentation  lookup table  Spreadsheet Software  Benefits  spreadsheet  project  index  fasting business business-essentials
Global Health: An Interdisciplinary Overview,University of Geneva,Beginner,4.6,https://www.coursera.org/learn/global-health-overview,"This course proposes an overview of current global health challenges drawing on the insights of several academic disciplines including medicine, public health, law, economics, social sciences and humanities.",sustainability  research and development  Communication  health system  Leadership and Management  health research  global  disease  drug development  public health life-sciences public-health
Python Programming Essentials,Rice University,Beginner,4.8,https://www.coursera.org/learn/python-programming,This course will introduce you to the wonderful world of Python programming!  We'll learn about the essential elements of programming and how to construct basic Python programs.,semantics  Python Programming  coding conventions  codeskulptor  Problem Solving  syntax  Computer Programming  programming style  python syntax and semantics  euler's totient function computer-science software-development
Creating Dashboards and Storytelling with Tableau,"University of California, Davis",Advanced,4.6,https://www.coursera.org/learn/dataviz-dashboards,"Leveraging the visualizations you created in the previous course, Visual Analytics with Tableau, you will create dashboards that help you identify the story within your data, and you will discover how to use Storypoints to create a powerful story to leave a lasting impression with your audience.",neuroscience  Data Visualization  Storytelling  tableau software  business analytics  checklists  software  method of analytic tableaux  javascript syntax  audience data-science data-analysis
Parallel programming,cole Polytechnique Fdrale de Lausanne,Beginner,4.4,https://www.coursera.org/learn/parprog1,"With every smartphone and computer now boasting multiple processors, the use of functional ideas to facilitate parallel programming is becoming increasingly widespread.",Data Structures  parallel algorithm  openfabrics alliance  task parallelism  unified parallel c  Algorithms  data parallelism  scala programming  parallel computing  Computer Programming computer-science software-development
Recommendation Systems with TensorFlow on GCP,Google Cloud,Advanced,4.2,https://www.coursera.org/learn/recommendation-models-gcp,"In this course, you'll apply your knowledge of classification models and embeddings to build a ML pipeline that functions as a recommendation engine.",systems architecture  Cloud Computing  Google Cloud Platform  Tensorflow  Deep Learning  Cloud Platforms  Machine Learning  matrices  Artificial Neural Networks  recommender systems data-science machine-learning
The Changing Arctic,National Research Tomsk State University,Not Calibrated,4.3,https://www.coursera.org/learn/changing-arctic,"What will I learn? After taking this course you will have an understanding of Arctic landscapes, how they were formed and how they are changing.",Human Learning  Geology  curiosity  methane  Problem Solving  plant  biologist  resource  dam  volatile organic compound life-sciences basic-science
COVID-19 - A clinical update,University of Florida,Beginner,4.7,https://www.coursera.org/learn/covid19clinicalupdate,"As an expert in infectious diseases, editor of the Journal of Infectious Diseases and author of the textbook Infectious Diseases: A clinical short course, McGraw-Hill April 2020, I have been concerned about the misinformation being shared about the COVID-19 epidemic.",disease  mechanical ventilation  vaccine  outbreak  epidemic  medical history  intubation  Epidemics  patient  social distancing life-sciences patient-care
How to Create Text Effects in GIMP,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/how-to-create-text-effects-in-gimp,"In this 1-hour long project-based course, you will learn how to add a myriad of text effects.",pointing device gesture  r&d management  Gradient  lambda lifting  ordered pair  english grammar  top-down and bottom-up design  standing ovation  path (variable)  project computer-science design-and-product
Preparing for the Google Cloud Professional Data Engineer Exam,Google Cloud,Beginner,4.5,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam,"From the course: ""The best way to prepare for the exam is to be competent in the skills required of the job.",business requirements  Cloud Computing  Google Cloud Platform  information engineering  Cloud Platforms  google cloud dataproc  dataflow  Databases  bigquery  Machine Learning information-technology cloud-computing
Multiple Regression Analysis in Public Health,Johns Hopkins University,Intermediate,4.6,https://www.coursera.org/learn/multiple-regression-analysis-public-health,"Biostatistics is the application of statistical reasoning to the life sciences, and it's the key to unlocking the data gathered by researchers and the evidence presented in the scientific public health literature.",Regression Analysis  Regression  public health  Confounding  interaction (statistics)  Estimation  linear regression  Confidence Interval  odds ratio  Logistic Regression life-sciences health-informatics
General Pathophysiology,Saint Petersburg State University,Intermediate,4,https://www.coursera.org/learn/pathophysiology,"Dear listeners!  Warning: this course contains shocking materials and is not recommended for viewing to persons with weak psyche, minors and pregnant women.",medicine  biomedical sciences  microcirculation  physiology  endocrinology  biochemistry  inflammations  pathophysiology  pathology  internal medicine life-sciences basic-science
Population Health: Alternative Payment Models,Universiteit Leiden,Advanced,4.9,https://www.coursera.org/learn/alternative-payment-models,The way we currently pay our care providers lead to suboptimal outcomes and unnecessary spending.,incentive  Behavioral Economics  loss aversion  modeling  enabling  relative change and difference  Financial Accounting  desire  Payments  Risk life-sciences healthcare-management
AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,Coursera Project Network,Advanced,5,https://www.coursera.org/learn/nodejs-api-aws-elastic-beanstalk,"In this 1-hour long project-based course, you will learn how to create a Node.",representational state transfer  uniform resource locator  Cloud Computing  web application  ordered pair  hypertext transfer protocol  virtual private server  web  application programming interfaces  Switches information-technology cloud-computing
"Philosophy, Science and Religion: Philosophy and Religion",The University of Edinburgh,Intermediate,4.6,https://www.coursera.org/learn/philosophy-science-religion-2,"Philosophy, Science and Religion mark three of the most fundamental modes of thinking about the world and our place in it.",ordered pair  arts and humanities  virtue  spirituality  philosophy  cognitive science  bible  belief  religion  evolution arts-and-humanities philosophy
Poverty & Population: How Demographics Shape Policy,Columbia University,Advanced,4.9,https://www.coursera.org/learn/poverty-population-demographics-policy,"This course has four modules, or foci.",education  Billing  political science  oppression  Population  inflation  unemployment  market (economics)  demography  social work social-sciences governance-and-society
Electrodynamics: Analysis of Electric Fields,Korea Advanced Institute of Science and Technology(KAIST),Intermediate,4.8,https://www.coursera.org/learn/electrodynamics-analysis-of-electric-fields,This course is a continuation of Electrodynamics: An Introduction.,colloid  Chemical Engineering  electronics  equipotential  high voltage  physics  physics experiments  Electrical Engineering  Studentized Residual  energy physical-science-and-engineering electrical-engineering
The Music of American English Pronunciation,"University of California, Irvine",Beginner,4.7,https://www.coursera.org/learn/american-english-pronunciation-music,"In this third course of The Pronunciation of American English specialization, you will learn and practice the ""music"" of American English, the features of pronunciation such as stress, rhythm, and intonation that will help improve your listening comprehension as well as your ability to communicate more clearly.",Receiving  english grammar  translation  data clustering algorithms  speech  music  grammar  stress  english language  phonetics language-learning learning-english
Fundamentals of Management,"University of California, Irvine",Beginner,4.5,https://www.coursera.org/learn/fundamentals-of-management,"Are you about to enter the workforce? Are you an emerging professional? Are you new to your role in the organization? All prospective new employees benefit from understanding management principles, roles and responsibilities, regardless of position.",control (management)  Planning  process  Leadership and Management  management theory  process management  leadership  management process  Change Management  organizing (management) business leadership-and-management
Advanced Speaking and Listening Project,"University of California, Irvine",Advanced,5,https://www.coursera.org/learn/speaking-listening-capstone,Learners will present a well-organized academic speech on a topic in an academic field of the learner's choice.,project  rapid serial visual presentation  panel discussion  Critical Thinking  listening  speech  english language  Language Learning  presentation  language language-learning learning-english
Hybrid Cloud Service Mesh with Anthos,Google Cloud,Beginner,4.8,https://www.coursera.org/learn/hybrid-cloud-service-mesh-anthos,"This on-demand course equips students to understand and adopt Istio-based service-mesh with Anthos for centralized observability, traffic management, and service-level security.",authentication  multiplexed transport layer security  it service management  authorization  service discovery  load balancing  application layer  access control  intelligent network  traffic management information-technology cloud-computing
Dealing With Missing Data,"University of Maryland, College Park",Advanced,3.5,https://www.coursera.org/learn/missing-data,"This course will cover the steps used in weighting sample surveys, including methods for adjusting for nonresponse and using data external to the survey for calibration.",Estimation  Weighting  population control  sample size determination  Surveying  Missing Data  Stata  Regression  coverage error  sampling frame data-science data-analysis
COBOL Programming with VSCode,IBM,Beginner,4.7,https://www.coursera.org/learn/cobol-programming-vscode,"Professor Tak Auyeung of American River College, said it beautifully, A programming language is not a fashion statement it is used for a purpose.",ibm cobol  numbers (spreadsheet)  relative change and difference  Computer Programming  data type  cobol  reserved word  Arithmetic  Mainframe  Continuous Function computer-science software-development
Cryptography and Hashing Overview,"University of California, Irvine",Conversant,4.7,https://www.coursera.org/learn/crypto-hashing,Continue learning about blockchain technology by diving into the nature of ownership and how the blockchain is one way to approach decentralized transaction handling.,Average  Cryptography  encryption  hash function  public-key cryptography  string (computer science)  verification and validation  hashing  password  BlockChain computer-science algorithms
Postman - Intro to APIs (without coding),Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/laura-gemmell-intro-postman-apis,"We use APIs everyday - when we check the news, when we log into online service - because APIs are used by many companies as a way to interact with their product or service.",project mine  Marketing  news  network news transfer protocol  project  Writing  application programming interfaces  uniform resource locator  numbers (spreadsheet)  interact information-technology data-management
Protecting Business Innovations via Patent,The Hong Kong University of Science and Technology,Beginner,4.8,https://www.coursera.org/learn/protect-business-innovations-patent,Protecting Business Innovations via Patent  Watch Course Overview:  https://youtu.,service innovation  Innovation  Patent Law  intellectual property  ordered pair  law  utility  Planning  business process  cost business business-strategy
"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",Coursera Project Network,Beginner,3.7,https://www.coursera.org/learn/ocr-text-detection-tensorflow-opencv-tesseract,"In this 1-hour long project-based course, you will learn how to collect and label images and use them to train a Tensorflow CNN (convolutional neural network) model to recognize relevant areas of (typeface) text in any image, video frame or frame from webcam video.",image processing  openbsd  optical character recognition  digital image processing  Python Programming  Tensorflow  region of interest  object detection  opencv  Machine Learning data-science machine-learning
Global Strategy I: How The Global Economy Works,University of Illinois at Urbana-Champaign,Advanced,4.8,https://www.coursera.org/learn/global-strategy,"Starting in the late 1990s, globalization became a buzzword to describe the apparent integration of markets in the world economy.",relative change and difference  economy  competitiveness  case study  analysis  foreign direct investment  trading  Economic Models  emerging markets  global business business-strategy
Disability Inclusion in Education: Building Systems of Support,University of Cape Town,Intermediate,4.8,https://www.coursera.org/learn/disability-inclusion-education,"Worldwide millions of children are not able to fully participate in schooling, and this is especially a problem for children with disabilities.",social justice  Special Education  Learning Disability  education  empowerment  intellectual disability  learning disabilities  Causality  teaching  Child Psychology social-sciences education
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,Beginner,4.3,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,This course gives you the background needed to understand basic Cybersecurity.,cyber-security regulation  cyber security standards  forensics  security  digital forensics  cybercrime  Cryptography  Cyberattacks  Leadership and Management  penetration test information-technology cloud-computing
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,Beginner,4.3,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,This course gives you the background needed to understand basic Cybersecurity.,cyber-security regulation  cyber security standards  forensics  security  digital forensics  cybercrime  Cryptography  Cyberattacks  Leadership and Management  penetration test information-technology cloud-computing
"Fundamentals of Funding, with Goldman Sachs 10,000 Women",Goldman Sachs,Beginner,4.6,https://www.coursera.org/learn/10k-women-9,"This course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level.",Communication  valuation of options  funds  online learning  Banking  Loan Repayment  Private Equity  investment banking  Finance  funding options business entrepreneurship
Foundations of Objective-C App Development,"University of California, Irvine",Beginner,4.7,https://www.coursera.org/learn/objective-c,An introduction to the Objective-C programming language.,iOS Development  printf format string  xcode  c programming  Computer Programming  euler's totient function  objective-c  Swift Programming  c++  ordered pair computer-science mobile-and-web-development
Programming Mobile Applications for Android Handheld Systems: Part 2,"University of Maryland, College Park",Advanced,4.7,https://www.coursera.org/learn/android-programming-2,This course introduces you to the design and implementation of Android applications for mobile devices.,notification area  interaction technique  Android Development  Software Engineering  mobile app  shell (computing)  widget (gui)  php  graphical user interface elements  Databases computer-science mobile-and-web-development
Analyzing Market Attractiveness Using Creately,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/analyzing-market-attractiveness-creately,"By the end of this 2 hour-long guided project, you will be fluent in identifying and analyzing business markets and how to discover their attractiveness to new products and services.",Financial Analysis  market (economics)  Strategy  Business Strategy  attractiveness  competitiveness  supply chain  business plan  porter's five forces analysis  analysis business business-strategy
Personal Leadership Development Planning and Leading High Performing Teams,Rice University,Advanced,4.7,https://www.coursera.org/learn/leadership-development-planning,An actionable leadership improvement plan enables you to leverage strengths and close the gaps on weaknesses.,personal advertisement  performance  Leadership Development  self-assessment  delegation  smart criteria  motivation  leadership  empowerment  competence (human resources) business leadership-and-management
Integrating Scripts for Scene Interactions,Unity,Advanced,4.8,https://www.coursera.org/learn/integrating-scripts-for-scene-interactions,"Welcome to Integrating Scripts for Scene Interactions, the third course in the Unity Certified 3D Artist Specialization from Unity Technologies.",Switches  interactivity  experience  ordered pair  video game development  Computer Programming  computer animation  project  User Experience  Visual Design computer-science design-and-product
Voices of Social Change,Laureate Education,Beginner,4.7,https://www.coursera.org/learn/voicesofsocialchange,"At a time of political unrest, environmental uncertainty, and lingering inequalities, young social change-makers are leading the way to counter the todays challenges.",social network  process  Planning  friendship  takeover  business process  relative change and difference  design thinking  social work  brainstorming personal-development personal-development
"Managing Asthma, Allergies, Diabetes, and Seizures in School",University of Colorado System,Beginner,4.8,https://www.coursera.org/learn/managing-asthma-allergies-diabetes-and-seizures-in-school,"Welcome to School Health specialization: Managing Asthma, Anaphylaxis, Food Allergies, Diabetes, and Seizures in School course.",health care  first aid  medication  asthma  allergy  glucose  emergency  emergency management  symptoms  Leadership and Management life-sciences patient-care
Global Challenges in Business Capstone,University of Illinois at Urbana-Champaign,Advanced,4.5,https://www.coursera.org/learn/global-challenges-business-capstone,The capstone for the Global Challenges in Business specialization will provide a learning experience that integrates across all the courses within that specialization.,supply chain  global  pricing  market segmentation  go to market  market (economics)  corporate social responsibility  strategic management  Target Market  added value business business-essentials
Severe to Profound Intellectual Disability: Circles of Care and Education,University of Cape Town,Intermediate,4.7,https://www.coursera.org/learn/intellectual-disability-care-education,This course is about caring for and educating children (and youth) with severe to profound intellectual disability.,lifelong learning  process  Special Education  intellectual disability  developmental disabilities  education  child  intellectual  autism  facilitation life-sciences healthcare-management
Teaching Children with Visual Impairment: Creating Empowering Classrooms,University of Cape Town,Beginner,4.9,https://www.coursera.org/learn/teach-children-with-visual-impairment,"In the education of children with visual impairment, there is at present a global movement away from segregated special schooling, and towards inclusive neighbourhood schools.",child development  education  teaching  peer support  Special Education  experience  learning styles  psychosocial  assistive technology  child social-sciences education
Intercultural Communication and Conflict Resolution,"University of California, Irvine",Advanced,4.3,https://www.coursera.org/learn/intercultural-communication,Intercultural Communication and Conflict Resolution is a growing area of importance considering the pace and volume of global transactions.,relative change and difference  international relations  psychological first aid  cross-cultural communication  Planning  Office Administration  intercultural communication  Communication  Culture  conflict resolution business business-essentials
Prediction and Control with Function Approximation,University of Alberta,Beginner,4.8,https://www.coursera.org/learn/prediction-control-function-approximation,"In this course, you will learn how to solve problems with large, high-dimensional, and potentially infinite state spaces.",reinforcement  Gradient  gradient descent  Reinforcement Learning  approximation  markov decision process  euler's totient function  function approximation  Human Learning  table of keyboard shortcuts data-science machine-learning
Advanced Neurobiology I,Peking University,Beginner,3.5,https://www.coursera.org/learn/Advanced-neurobiology1,"Hello everyone! Welcome to Advanced neurobiology!  Neuroscience is a wonderful branch of science on how our brain perceives the external world, how our brain thinks, how our brain responds to the outside of the world, and how during disease or aging the neuronal connections deteriorate.",action potential  biochemistry  neuron (software)  anatomy  pharmacology  neurobiology  neuroscience  biology  alzheimer's disease  molecular biology life-sciences basic-science
Foundations of Teaching for Learning: Introduction,Commonwealth Education Trust,Intermediate,4.5,https://www.coursera.org/learn/teaching,"The Foundations of Teaching for Learning programme is for anyone who is teaching, or who would like to teach, in any subject and any context - be it at school, at home or in the workplace.",psychology  Human Learning  interpersonal relationships  educational practices  teaching  teaching method  proactivity  thought  child development  Planning social-sciences education
Change Leadership: Developing Force Field Analysis in Miro,Coursera Project Network,Advanced,5,https://www.coursera.org/learn/change-force-analysis,"By the end of this guided project, you will be fluent in identifying and mapping forces for Force Field Analysis using a hands-on example.",business case  personal advertisement  Mapping  Planning  project  Map  e-nable  Change Management  Writing  enabling business business-strategy
Lesson | Telephone Language,Georgia Institute of Technology,Not Calibrated,4.5,https://www.coursera.org/learn/lesson-telephone-language,"This lesson is part of a full course, Speak English Professionally: In Person, Online & On the Phone.",speech  language  Marketing  law  B2B Marketing  Digital Marketing  english language  online learning community  Accounting  E-Commerce language-learning learning-english
Python Tricks and Hacks for Productivity,Coursera Project Network,Advanced,4.1,https://www.coursera.org/learn/python-hacks,"By the end of this project, you are going to be an more complete Python user, and will have an better grasp of several techniques and tips which increases coding speed and conciseness.",Computer Programming  Transpose  concision  Python Programming  Software Engineering  grasp  project  Operations Management  progress bar  dict computer-science software-development
Privacy in the USA,EIT Digital,Advanced,4.6,https://www.coursera.org/learn/privacy-laws-us,After having followed Privacy in the Western world you have become acquainted with the overall global legal system and the origins of privacy as a concept as well as privacy as a (human) right.,american law  personally identifiable information  security  privacy  data protection  telecommunications  litigation public relations  financial privacy  stemming  law social-sciences law
Japanese for beginners 2,Saint Petersburg State University,Beginner,4.4,https://www.coursera.org/learn/japanese-2,"Japanese language has become extremely popular among learners in recent years, since it is the best way to explore one of the richest and most mysterious cultures of the modern East.",shopping  japanese language  grammar  Writing  materials  linguistics  listening  korean language  process  video game development language-learning other-languages
Introduction to Recommender Systems:  Non-Personalized and Content-Based,University of Minnesota,Beginner,4.3,https://www.coursera.org/learn/recommender-systems-introduction,"This course, which is designed to serve as the first course in the Recommender Systems specialization, introduces the concept of recommender systems, reviews several examples in detail, and leads you through non-personalized recommendation using summary statistics and product associations, basic stereotype-based or demographic recommendations, and content-based filtering recommendations.",demography  Tf Idf  Summary Statistics  recommender systems  information retrieval  recursively enumerable set  personalization  preference  tracking  Machine Learning data-science machine-learning
Global Disease Masterclass: Global Disease Distribution,Imperial College London,Beginner,4.5,https://www.coursera.org/learn/global-disease-distribution,The Global Diseases Masterclass is part of the full-degree Masters of Public Health that the School of Public Health.,global  Determinants  General Statistics  Risk  Studentized Residual  health data  risk factors  Risk Factor  Chi-Squared Distribution  disease life-sciences public-health
Age of Cathedrals,Yale University,Intermediate,4.7,https://www.coursera.org/learn/age-of-cathedrals,An introduction to some of the most astonishing architectural monuments the world has ever knownGothic cathedrals.,architecture  art  bible  Art History  glassing  middle age  ageing  mother  Autoregressive Conditional Heteroskedasticity  history arts-and-humanities history
Smart Contracts,The State University of New York,Advanced,4.6,https://www.coursera.org/learn/smarter-contracts,"This second course of the Blockchain specialization will help you design, code, deploy and execute a smart contract  the computational element of the blockchain technology.",client (computing)  BlockChain  access modifiers  interfaces  tracing (software)  teleprocessing monitor  smart contract  deployment environment  ethereum  solidity computer-science software-development
Create an FPS Weapon in Unity (Part 1 - Revolver),Coursera Project Network,Advanced,5,https://www.coursera.org/learn/create-fps-weapon-unity-revolver,"In this one-hour, project-based course, you'll learn how to set up a revolver for a first-person shooter.",gamification of learning  project  process  .properties  hold  java annotation  source lines of code  e-nable  teaching method  parenting computer-science software-development
Homeland Security and Cybersecurity Future,University of Colorado System,Intermediate,4.6,https://www.coursera.org/learn/homeland-security-cybersecurity-future,This course takes a look at the future of cybersecurity with respect to what is being done to lessen the potential for catastrophic destruction resulting from cyber attack on critical infrastructure.,Leadership and Management  crime  Risk  criminology  security  computer and network surveillance  no silver bullet  trade-off  cybercrime  risk analysis social-sciences governance-and-society
Healthcare Consumerism and Implication for Care Delivery,Northeastern University,Intermediate,4.5,https://www.coursera.org/learn/healthcareconsumerism,In this course we will examine the changing role of the consumer in healthcare.,Healthcare Management  emotion  insurance  Change Management  voice of the customer  Leadership and Management  nutrition  fee-for-service  Human Learning  ecosystems life-sciences healthcare-management
Magna Carta and its Legacies: Freedom and protest,University of London,Intermediate,4.4,https://www.coursera.org/learn/magna-carta,This course examines the roles that Magna Carta has played historically as well as the importance of Magna Carta today.,land law  go (programming language)  english language  historiography  history of ideas  authority  constitution  law  history  common law arts-and-humanities history
Converter Circuits,University of Colorado Boulder,Advanced,4.8,https://www.coursera.org/learn/converter-circuits,"This course can also be taken for academic credit as ECEA 5701, part of CU Boulders Master of Science in Electrical Engineering degree.",modeling  analysis  sensitivity index  topology  electronics  Electrical Engineering  Switches  simulation  power electronics  Electronic Design physical-science-and-engineering electrical-engineering
Predictive Modeling and Analytics,University of Colorado Boulder,Advanced,3,https://www.coursera.org/learn/predictive-modeling-analytics,Welcome to the second course in the Data Analytics for Business specialization!   This course will introduce you to some of the most widely used predictive modeling techniques and their core principles.,Logistic Regression  analytics  predictive analytics  Regression  Data Analysis  Regression Analysis  supply chain  analysis  linear regression  predictive modelling data-science data-analysis
Animals and Institutions,University of Colorado Boulder,Beginner,5,https://www.coursera.org/learn/animals-institutions,This course explores animals within the context of the functional relationships that sociologists call institutions.,livestock  animal  veterinary  veterinary medicine  captivity  dieting  sports  animal science  medicine  evaluation social-sciences governance-and-society
ART of the MOOC: Public Art and Pedagogy,Duke University,Not Calibrated,4.6,https://www.coursera.org/learn/public-art-pedagogy,"Students of this course may try their hand at their own public art interventions, or simply focus on learning from the theory of public practice and its recent history.",educational entertainment  level of analysis  history of rock  art therapy  history  art  case study  interview  Critical Thinking  media & citizenship arts-and-humanities music-and-art
Genetics and Society: A Course for Educators,American Museum of Natural History,Intermediate,4.7,https://www.coursera.org/learn/genetics-society,"How have advances in genetics affected society? What do we need to know to make ethical decisions about genetic technologies? This course includes the study of cloning, genetic enhancement, and ownership of genetic information.",biology  genetically modified organisms  medicine  genetics  genomics  agriculture  stem cell  history of genetics  dna profiling  comparative genomics life-sciences basic-science
Russian History: from Lenin to Putin,"University of California, Santa Cruz",Intermediate,4.7,https://www.coursera.org/learn/russian-history-lenin-putin,"In this course, Peter Kenez, Professor Emeritus at UC Santa Cruz, explains the events of modern Russian history and introduces its most significant actorsfrom Vladimir Lenin to Vladimir Putin.",foreign policy  Russian  Note Taking  market price  Art History  latex  essay writing  arts and humanities  history  war arts-and-humanities history
Packet Switching Networks and Algorithms,University of Colorado System,Advanced,4.6,https://www.coursera.org/learn/packet-switching-networks-algorithms,"In this course, we deal with the general issues regarding packet switching networks.",packet switching  traffic management  network layer  routing  random early detection  network topology  token bucket  routing protocol  topology  open shortest path first computer-science computer-security-and-networks
Transgender Medicine for General Medical Providers,Icahn School of Medicine at Mount Sinai,Intermediate,4.8,https://www.coursera.org/learn/transgender-medicine,The course is a comprehensive set of didactic lectures surveying fundamentals of transgender medical and surgical treatment.,therapy  Medical Practice  behavior therapy  Medical Statistics  medicine  good clinical practice  Surgery  hormone replacement therapy  hormone  women's health life-sciences patient-care
Epigenetic Control of Gene Expression,The University of Melbourne,Beginner,4.8,https://www.coursera.org/learn/epigenetics,"While the human genome sequence has transformed our understanding of human biology, it isnt just the sequence of your DNA that matters, but also how you use it! How are some genes activated and others are silenced? How is this controlled? The answer is epigenetics.",Cancer  reproductive technology  Dna Methylation  assisted reproductive technology  gene expression  DNA  gene  genetics  stem cell  Cancer Epigenetics life-sciences basic-science
Successful Interviewing,"University of Maryland, College Park",Advanced,4.7,https://www.coursera.org/learn/successful-interviewing,The goal of hiring managers is not just to hire people who need a job.,Strategy  canned response  show me!  interview  career  technology strategy  experience  english language  speech  self-assessment language-learning learning-english
